2025-01-07T06:00,co2,492
2025-01-07T06:00,temperature,19.7
2025-01-07T06:00,humidity,46
2025-01-07T09:00,co2,567
2025-01-07T09:00,temperature,18.9
2025-01-07T09:00,humidity,43
2025-01-07T12:00,co2,574
2025-01-07T12:00,temperature,18.4
2025-01-07T12:00,humidity,42
2025-01-07T15:00,co2,548
2025-01-07T15:00,temperature,19.3
2025-01-07T15:00,humidity,46
2025-01-07T18:00,co2,503
2025-01-07T18:00,temperature,18.2
2025-01-07T18:00,humidity,38
2025-01-07T21:00,co2,467
2025-01-07T21:00,temperature,18.2
2025-01-07T21:00,humidity,46
2025-01-21T06:00,co2,500
2025-01-21T06:00,temperature,19.3
2025-01-21T06:00,humidity,43
2025-01-21T09:00,co2,565
2025-01-21T09:00,temperature,19.9
2025-01-21T09:00,humidity,44
2025-01-21T12:00,co2,591
2025-01-21T12:00,temperature,19.2
2025-01-21T12:00,humidity,36
2025-01-21T15:00,co2,552
2025-01-21T15:00,temperature,18.0
2025-01-21T15:00,humidity,42
2025-01-21T18:00,co2,500
2025-01-21T18:00,temperature,18.1
2025-01-21T18:00,humidity,37
2025-01-21T21:00,co2,470
2025-01-21T21:00,temperature,19.2
2025-01-21T21:00,humidity,46
2025-02-07T06:00,co2,477
2025-02-07T06:00,temperature,19.7
2025-02-07T06:00,humidity,43
2025-02-07T09:00,co2,544
2025-02-07T09:00,temperature,20.0
2025-02-07T09:00,humidity,44
2025-02-07T12:00,co2,562
2025-02-07T12:00,temperature,20.0
2025-02-07T12:00,humidity,44
2025-02-07T15:00,co2,520
2025-02-07T15:00,temperature,19.9
2025-02-07T15:00,humidity,38
2025-02-07T18:00,co2,496
2025-02-07T18:00,temperature,21.0
2025-02-07T18:00,humidity,35
2025-02-07T21:00,co2,470
2025-02-07T21:00,temperature,19.5
2025-02-07T21:00,humidity,46
2025-02-21T06:00,co2,470
2025-02-21T06:00,temperature,20.0
2025-02-21T06:00,humidity,34
2025-02-21T09:00,co2,540
2025-02-21T09:00,temperature,20.1
2025-02-21T09:00,humidity,35
2025-02-21T12:00,co2,565
2025-02-21T12:00,temperature,19.2
2025-02-21T12:00,humidity,38
2025-02-21T15:00,co2,530
2025-02-21T15:00,temperature,19.1
2025-02-21T15:00,humidity,34
2025-02-21T18:00,co2,504
2025-02-21T18:00,temperature,19.0
2025-02-21T18:00,humidity,37
2025-02-21T21:00,co2,449
2025-02-21T21:00,temperature,19.9
2025-02-21T21:00,humidity,45
2025-03-07T06:00,co2,440
2025-03-07T06:00,temperature,20.8
2025-03-07T06:00,humidity,43
2025-03-07T09:00,co2,523
2025-03-07T09:00,temperature,20.4
2025-03-07T09:00,humidity,44
2025-03-07T12:00,co2,526
2025-03-07T12:00,temperature,20.7
2025-03-07T12:00,humidity,38
2025-03-07T15:00,co2,493
2025-03-07T15:00,temperature,20.0
2025-03-07T15:00,humidity,40
2025-03-07T18:00,co2,472
2025-03-07T18:00,temperature,21.8
2025-03-07T18:00,humidity,36
2025-03-07T21:00,co2,420
2025-03-07T21:00,temperature,21.4
2025-03-07T21:00,humidity,34
2025-03-21T06:00,co2,429
2025-03-21T06:00,temperature,20.9
2025-03-21T06:00,humidity,41
2025-03-21T09:00,co2,508
2025-03-21T09:00,temperature,21.4
2025-03-21T09:00,humidity,37
2025-03-21T12:00,co2,532
2025-03-21T12:00,temperature,21.0
2025-03-21T12:00,humidity,45
2025-03-21T15:00,co2,507
2025-03-21T15:00,temperature,20.3
2025-03-21T15:00,humidity,44
2025-03-21T18:00,co2,460
2025-03-21T18:00,temperature,20.2
2025-03-21T18:00,humidity,40
2025-03-21T21:00,co2,419
2025-03-21T21:00,temperature,20.0
2025-03-21T21:00,humidity,46
2025-04-07T06:00,co2,406
2025-04-07T06:00,temperature,21.6
2025-04-07T06:00,humidity,34
2025-04-07T09:00,co2,469
2025-04-07T09:00,temperature,21.4
2025-04-07T09:00,humidity,43
2025-04-07T12:00,co2,498
2025-04-07T12:00,temperature,22.2
2025-04-07T12:00,humidity,34
2025-04-07T15:00,co2,447
2025-04-07T15:00,temperature,21.4
2025-04-07T15:00,humidity,38
2025-04-07T18:00,co2,408
2025-04-07T18:00,temperature,22.5
2025-04-07T18:00,humidity,39
2025-04-07T21:00,co2,382
2025-04-07T21:00,temperature,21.8
2025-04-07T21:00,humidity,35
2025-04-21T06:00,co2,390
2025-04-21T06:00,temperature,21.4
2025-04-21T06:00,humidity,44
2025-04-21T09:00,co2,470
2025-04-21T09:00,temperature,21.0
2025-04-21T09:00,humidity,39
2025-04-21T12:00,co2,489
2025-04-21T12:00,temperature,22.2
2025-04-21T12:00,humidity,36
2025-04-21T15:00,co2,461
2025-04-21T15:00,temperature,22.0
2025-04-21T15:00,humidity,43
2025-04-21T18:00,co2,412
2025-04-21T18:00,temperature,22.7
2025-04-21T18:00,humidity,36
2025-04-21T21:00,co2,393
2025-04-21T21:00,temperature,21.3
2025-04-21T21:00,humidity,37
2025-05-07T06:00,co2,377
2025-05-07T06:00,temperature,22.5
2025-05-07T06:00,humidity,37
2025-05-07T09:00,co2,438
2025-05-07T09:00,temperature,23.5
2025-05-07T09:00,humidity,42
2025-05-07T12:00,co2,454
2025-05-07T12:00,temperature,23.4
2025-05-07T12:00,humidity,40
2025-05-07T15:00,co2,428
2025-05-07T15:00,temperature,23.2
2025-05-07T15:00,humidity,40
2025-05-07T18:00,co2,379
2025-05-07T18:00,temperature,22.2
