7,75,36,306
6,88,35,346
8,72,37,327
6,73,36,353
6,78,35,370
7,72,37,315
6,89,35,373
8,83,35,328
6,88,35,337
8,145,39,525
9,150,39,533
7,159,39,534
8,144,39,518
9,142,39,536
8,158,38,550
8,159,38,556
8,148,37,541
7,159,38,577
19,221,41,777
19,213,39,785
19,216,40,739
19,224,39,729
20,229,40,763
20,222,41,783
20,225,39,731
19,226,41,728
18,220,41,793
23,305,41,959
23,302,40,969
22,296,42,924
22,292,40,946
21,298,41,960
22,293,40,967
22,308,41,927
22,308,41,963
22,303,40,929
8,19,32,49
13,8,37,43
14,26,30,38
19,42,35,60
